,balance,equity,balance_btc,equity_btc
1860,101034.85644242256,100955.75905373863,9.792699208919352,9.791158981480649
1920,101034.85644242256,100918.74926138874,9.792699208919352,9.790750600664827
1980,98099.96504539301,99386.65433509581,9.792699208919352,9.773608729289343
2040,98099.96504539301,97736.02897159402,9.792699208919352,9.754737235346242
2100,98099.96504539301,98226.08722380192,9.792699208919352,9.766937180451617
2160,98099.96504539301,97168.28490510886,9.792699208919352,9.7404881361937
2220,98099.96504539301,97423.72419057995,9.792699208919352,9.746914481206236
2280,98099.96504539301,97556.19346852676,9.792699208919352,9.750237215909493
2340,98099.96504539301,98673.59394959664,9.792699208919352,9.777998268781273
2400,98099.96504539301,98684.26436294794,9.792699208919352,9.778261090776743
2460,98099.96504539301,99501.46187326811,9.792699208919352,9.798263307792716
2520,98099.96504539301,99653.71045401246,9.792699208919352,9.801962528095368
2580,98099.96504539301,97343.4358364609,9.792699208919352,9.744897307430039
2640,98099.96504539301,97676.30068222506,9.792699208919352,9.753244033273429
2700,98099.96504539301,97539.53721353933,9.792699208919352,9.749819797759683
2760,99474.20945603492,97892.31148909313,9.810332994529283,9.758637819345665
2820,99474.20945603492,99481.67079430702,9.810332994529283,9.80588370684439
2880,99474.20945603492,99276.96184723818,9.810332994529283,9.803573145133285
2940,99474.20945603492,99423.98914940552,9.810332994529283,9.805233503460641
3000,99474.20945603492,99230.90510198094,9.810332994529283,9.803052136783185
3060,99474.20945603492,98028.22619878523,9.810332994529283,9.789293815825053
3120,99474.20945603492,98207.36036663671,9.810332994529283,9.791361950811236
3180,99474.20945603492,98863.00470657271,9.810332994529283,9.798874908721658
3240,99474.20945603492,98982.46438958369,9.810332994529283,9.80023429576641
3300,99474.20945603492,99125.17387188318,9.810332994529283,9.80185445044282
3360,99474.20945603492,100078.41564271215,9.810332994529283,9.812571393539773
3420,99474.20945603492,99577.54853803964,9.810332994529283,9.806962990856555
3480,99474.20945603492,100028.15179091698,9.810332994529283,9.812010816749194
3540,100321.35350491316,99966.59517946739,9.817419008952289,9.811323614861996
3600,100321.35350491316,100449.17306833496,9.817419008952289,9.817677346960744
