,balance,equity,balance_btc,equity_btc
0,99984.32831003347,100000.0,15.583023231171033,15.583023231171033
60,99984.32831003347,98152.50505240868,15.583023231171033,15.577290120998045
120,99984.32831003347,97933.9484829801,15.583023231171033,15.576595249589262
180,99984.32831003347,98313.20373727582,15.583023231171033,15.577799109392139
240,99984.32831003347,99197.60282985817,15.583023231171033,15.58057137940993
300,99984.32831003347,98781.31217143382,15.583023231171033,15.579272520318996
360,99984.32831003347,98041.08093955816,15.583023231171033,15.576936242281633
420,99984.32831003347,97933.47163228314,15.583023231171033,15.576593730183316
480,99984.32831003347,98354.68974790919,15.583023231171033,15.577930245229306
540,99984.32831003347,98261.2270113099,15.583023231171033,15.577634659615635
600,99984.32831003347,98033.92817910416,15.583023231171033,15.576913498460986
660,99984.32831003347,97945.39289970654,15.583023231171033,15.576631710982484
720,99984.32831003347,98391.56620180549,15.583023231171033,15.578046719432665
780,99984.32831003347,96703.1968341905,15.583023231171033,15.572624783679801
840,99984.32831003347,96551.87621302977,15.583023231171033,15.57212977001593
900,99984.32831003347,97235.20326173781,15.583023231171033,15.574353147417117
960,99984.32831003347,96737.84798483446,15.583023231171033,15.57273792415236
1020,99984.32831003347,96086.15203235645,15.583023231171033,15.570596667048525
1080,99984.32831003347,96303.75490039117,15.583023231171033,15.571314795145947
1140,99984.32831003347,96364.79178959888,15.583023231171033,15.571515657126794
1200,99984.32831003347,96419.4706695141,15.583023231171033,15.57169538442759
1260,99984.32831003347,98787.51123049395,15.583023231171033,15.579291940560005
1320,101057.75357446224,99456.21485782934,15.584750104013054,15.581372901515165
1380,101057.75357446224,101874.70617491461,15.584750104013054,15.584750104013054
1440,101057.75357446224,104193.56114289071,15.584750104013054,15.584750104013056
1500,101057.75357446224,103325.49056209718,15.584750104013054,15.584750104013054
1560,101057.75357446224,102410.82157849266,15.584750104013054,15.584750104013054
1620,101057.75357446224,103015.19818752629,15.584750104013054,15.584750104013054
1680,101057.75357446224,102997.89911491083,15.584750104013054,15.584750104013054
1740,102299.91473751521,102810.25872365852,15.584750104013054,15.584750104013054
1800,103087.46808498846,102934.47088916844,15.586770059631325,15.586543866828654
1860,103087.46808498846,103363.97738584633,15.586770059631325,15.586770059631325
1920,102903.444897426,103624.74404894396,15.586770059631325,15.586770059631325
1980,102903.444897426,103637.07541808515,15.586770059631325,15.588577993686348
2040,103516.46016068832,103472.53349796796,15.589891487007277,15.588095894190946
2100,104203.46423843944,103527.3603777508,15.592061815298482,15.590108149852993
2160,103935.63291575825,104624.7617486888,15.593955328602997,15.592061815298482
2220,103935.63291575825,103882.189567641,15.593955328602997,15.593828883948062
2280,104877.13352860876,103486.71779817194,15.596573884038023,15.592652251004905
2340,104877.13352860876,105496.31751180506,15.596573884038023,15.59657388403802
2400,104877.13352860876,105939.72810732826,15.596573884038023,15.596573884038023
2460,104877.13352860876,108002.53096923114,15.596573884038023,15.596573884038023
2520,105628.02536268775,110433.88087201382,15.59911176566399,15.596573884038023
2580,105628.02536268775,105304.83963914015,15.59911176566399,15.595079651080225
2640,105628.02536268775,105457.24892985521,15.59911176566399,15.595524551813691
2700,105628.02536268775,104873.543619173,15.59911176566399,15.593813778531759
2760,105628.02536268775,106340.20463284956,15.59911176566399,15.59807739953085
2820,105628.02536268775,106365.65921167462,15.59911176566399,15.59815037888681
2880,105628.02536268775,105671.70375645637,15.59911176566399,15.596148440182475
2940,105628.02536268775,105154.9758063076,15.59911176566399,15.594640948166786
3000,105628.02536268775,105886.63585641049,15.59911176566399,15.596771231211985
3060,105628.02536268775,106220.56811237177,15.59911176566399,15.59773393720584
3120,105628.02536268775,105847.65853258461,15.59911176566399,15.596658473893195
3180,105628.02536268775,105801.20392622886,15.59911176566399,15.596523979195366
3240,105628.02536268775,105567.65816550891,15.59911176566399,15.595846062838147
3300,107615.69945032368,106034.4315047135,15.602085887438335,15.597198050205712
3360,107615.69945032368,108158.02795577102,15.602085887438335,15.602085887438335
3420,107615.69945032368,107880.4668478335,15.602085887438335,15.602085887438335
3480,107615.69945032368,108733.7449250175,15.602085887438335,15.602085887438335
3540,107615.69945032368,109629.61669667422,15.602085887438335,15.602085887438335
3600,107774.5662936344,108538.56283056564,15.602085887438335,15.602085887438335
3660,107774.5662936344,107860.5991966889,15.602085887438335,15.600724230120093
3720,107774.5662936344,106590.17825943582,15.602085887438335,15.59708665513154
3780,107774.5662936344,105783.59462580159,15.602085887438335,15.594732736740076
3840,107774.5662936344,104570.2980768844,15.602085887438335,15.59112485938423
3900,107774.5662936344,105676.66540863799,15.602085887438335,15.594418032815716
3960,107774.5662936344,104866.7402369674,15.602085887438335,15.592013916378203
4020,107774.5662936344,105450.87290989525,15.602085887438335,15.593751446960278
4080,107774.5662936344,105659.63947673845,15.602085887438335,15.594367866096738
4140,107774.5662936344,104009.71529106997,15.602085887438335,15.58943004837817
4200,107774.5662936344,104971.44176210674,15.602085887438335,15.592326749913733
4260,107774.5662936344,105461.37488658095,15.602085887438335,15.59378251297951
4320,107774.5662936344,104614.53367565147,15.602085887438335,15.591257839353586
4380,107774.5662936344,105721.53749084058,15.602085887438335,15.594550172042112
4440,107774.5662936344,105310.2100706503,15.602085887438335,15.593334765271294
4500,107774.5662936344,104254.44317201874,15.602085887438335,15.590172130897843
4560,107774.5662936344,104248.23745852266,15.602085887438335,15.590153355644352
4620,107774.5662936344,104623.92180632507,15.602085887438335,15.591286047547777
4680,107774.5662936344,104819.79958359945,15.602085887438335,15.591873465442475
4740,107774.5662936344,104795.45409219166,15.602085887438335,15.591800572843749
4800,107774.5662936344,104958.23473082016,15.602085887438335,15.592287322856121
4860,107774.5662936344,105588.03509024497,15.602085887438335,15.594156711009449
